gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,placed,salary
M,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,1,96.0,Mkt&Fin,70.85,1,300000.0
M,77.0,Others,75.0,Others,Science,73.0,Sci&Tech,0,80.0,Mkt&Fin,67.05,1,240000.0
M,76.0,Central,80.0,Central,Science,78.0,Sci&Tech,1,97.0,Mkt&HR,70.48,1,276000.0
M,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,1,82.66,Mkt&Fin,64.34,1,940000.0
M,58.0,Others,40.0,Others,Science,59.0,Comm&Mgmt,0,73.0,Mkt&HR,58.81,0,
F,64.0,Central,67.0,Others,Science,69.6,Sci&Tech,1,55.67,Mkt&HR,71.49,1,250000.0
F,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,1,80.4,Mkt&Fin,71.0,1,236000.0
M,74.0,Others,59.0,Others,Commerce,73.0,Comm&Mgmt,1,60.0,Mkt&HR,56.7,1,240000.0
M,67.0,Central,71.0,Central,Science,64.33,Others,1,64.0,Mkt&HR,61.26,1,250000.0
F,84.0,Central,73.0,Central,Commerce,73.0,Comm&Mgmt,0,75.0,Mkt&Fin,73.33,1,350000.0
F,79.0,Others,61.0,Others,Science,75.5,Sci&Tech,1,70.0,Mkt&Fin,68.2,1,210000.0
F,72.0,Others,60.0,Others,Science,69.0,Comm&Mgmt,0,55.5,Mkt&HR,58.4,1,250000.0
M,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,1,81.2,Mkt&HR,76.26,1,400000.0
M,76.7,Central,89.7,Others,Commerce,66.0,Comm&Mgmt,1,90.0,Mkt&Fin,68.55,1,250000.0
M,62.0,Central,65.0,Others,Commerce,60.0,Comm&Mgmt,0,84.0,Mkt&Fin,64.15,0,
F,74.9,Others,57.0,Others,Science,62.0,Others,1,80.0,Mkt&Fin,60.78,1,360000.0
M,67.0,Others,68.0,Others,Commerce,64.0,Comm&Mgmt,1,74.4,Mkt&HR,53.49,1,300000.0
M,73.0,Central,64.0,Others,Commerce,77.0,Comm&Mgmt,1,65.0,Mkt&HR,60.98,1,250000.0
F,77.44,Central,92.0,Others,Commerce,72.0,Comm&Mgmt,1,94.0,Mkt&Fin,67.13,1,250000.0
F,72.0,Central,56.0,Others,Science,69.0,Comm&Mgmt,0,55.6,Mkt&HR,65.63,1,200000.0
F,47.0,Central,59.0,Central,Arts,64.0,Comm&Mgmt,0,78.0,Mkt&Fin,61.58,0,
M,67.0,Others,63.0,Central,Commerce,72.0,Comm&Mgmt,0,56.0,Mkt&HR,60.41,1,225000.0
F,82.0,Others,64.0,Others,Science,73.0,Sci&Tech,1,96.0,Mkt&Fin,71.77,1,250000.0
M,77.0,Central,70.0,Central,Commerce,59.0,Comm&Mgmt,1,58.0,Mkt&Fin,54.43,1,220000.0
M,65.0,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,1,56.0,Mkt&Fin,56.94,1,265000.0
M,66.0,Central,64.0,Central,Science,60.0,Comm&Mgmt,0,60.0,Mkt&HR,61.9,0,
M,85.0,Central,60.0,Others,Science,73.43,Sci&Tech,1,60.0,Mkt&Fin,61.29,1,260000.0
M,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,0,89.0,Mkt&Fin,60.39,1,300000.0
M,52.0,Others,50.0,Others,Arts,61.0,Comm&Mgmt,0,60.0,Mkt&Fin,58.52,0,
M,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,0,72.0,Mkt&HR,63.23,1,400000.0
M,62.0,Central,63.0,Others,Science,66.0,Comm&Mgmt,0,85.0,Mkt&HR,55.14,1,233000.0
M,70.0,Central,74.0,Central,Commerce,65.0,Comm&Mgmt,0,83.0,Mkt&Fin,62.28,1,300000.0
F,77.0,Central,86.0,Central,Arts,56.0,Others,0,57.0,Mkt&Fin,64.08,1,240000.0
M,44.0,Central,58.0,Central,Arts,55.0,Comm&Mgmt,1,64.25,Mkt&HR,58.54,0,
M,71.0,Central,58.66,Central,Science,58.0,Sci&Tech,1,56.0,Mkt&Fin,61.3,1,690000.0
M,65.0,Central,65.0,Central,Commerce,75.0,Comm&Mgmt,0,83.0,Mkt&Fin,58.87,1,270000.0
F,75.4,Others,60.5,Central,Science,84.0,Sci&Tech,0,98.0,Mkt&Fin,65.25,1,240000.0
M,49.0,Others,59.0,Others,Science,65.0,Sci&Tech,1,86.0,Mkt&Fin,62.48,1,340000.0
M,53.0,Central,63.0,Others,Science,60.0,Comm&Mgmt,1,70.0,Mkt&Fin,53.2,1,250000.0
M,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,1,56.15,Mkt&HR,65.99,0,
M,84.2,Central,69.4,Central,Science,65.0,Sci&Tech,1,80.0,Mkt&HR,52.72,1,255000.0
M,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,0,93.4,Mkt&Fin,55.03,1,300000.0
M,67.0,Others,63.0,Others,Science,64.0,Sci&Tech,0,60.0,Mkt&Fin,61.87,0,
M,52.0,Central,49.0,Others,Commerce,58.0,Comm&Mgmt,0,62.0,Mkt&HR,60.59,0,
M,87.0,Central,74.0,Central,Science,65.0,Sci&Tech,1,75.0,Mkt&HR,72.29,1,300000.0
M,55.6,Others,51.0,Others,Commerce,57.5,Comm&Mgmt,0,57.63,Mkt&HR,62.72,0,
M,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,1,75.2,Mkt&Fin,66.06,1,285000.0
M,63.0,Others,67.0,Others,Science,64.0,Sci&Tech,0,75.0,Mkt&Fin,66.46,1,500000.0
F,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,0,53.04,Mkt&Fin,65.52,1,250000.0
F,63.3,Central,78.33,Others,Commerce,74.0,Comm&Mgmt,0,80.0,Mkt&Fin,74.56,0,
M,62.0,Others,62.0,Others,Commerce,60.0,Comm&Mgmt,1,63.0,Mkt&HR,52.38,1,240000.0
M,67.9,Others,62.0,Others,Science,67.0,Sci&Tech,1,58.1,Mkt&Fin,75.71,0,
F,48.0,Central,51.0,Central,Commerce,58.0,Comm&Mgmt,1,60.0,Mkt&HR,58.79,0,
M,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,0,54.48,Mkt&HR,65.48,0,
F,63.4,Others,67.2,Others,Commerce,60.0,Comm&Mgmt,0,58.06,Mkt&HR,69.28,0,
M,80.0,Others,80.0,Others,Commerce,72.0,Comm&Mgmt,1,63.79,Mkt&Fin,66.04,1,290000.0
M,73.0,Others,58.0,Others,Commerce,56.0,Comm&Mgmt,0,84.0,Mkt&HR,52.64,1,300000.0
F,52.0,Others,52.0,Others,Science,55.0,Sci&Tech,0,67.0,Mkt&HR,59.32,0,
M,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,1,64.0,Mkt&Fin,66.23,1,500000.0
M,63.0,Others,62.0,Others,Science,65.0,Sci&Tech,0,87.5,Mkt&HR,60.69,0,
F,59.0,Central,60.0,Others,Commerce,56.0,Comm&Mgmt,0,55.0,Mkt&HR,57.9,1,220000.0
F,73.0,Central,97.0,Others,Commerce,79.0,Comm&Mgmt,1,89.0,Mkt&Fin,70.81,1,650000.0
M,68.0,Others,56.0,Others,Science,68.0,Sci&Tech,0,73.0,Mkt&HR,68.07,1,350000.0
F,77.8,Central,64.0,Central,Science,64.2,Sci&Tech,0,75.5,Mkt&HR,72.14,0,
M,65.0,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,1,57.0,Mkt&Fin,56.6,1,265000.0
M,62.0,Central,60.33,Others,Science,64.21,Sci&Tech,0,63.0,Mkt&HR,60.02,0,
M,52.0,Others,65.0,Others,Arts,57.0,Others,1,75.0,Mkt&Fin,59.81,0,
M,65.0,Central,77.0,Central,Commerce,69.0,Comm&Mgmt,0,60.0,Mkt&HR,61.82,1,276000.0
F,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,0,60.0,Mkt&HR,57.29,0,
F,88.0,Central,72.0,Central,Science,78.0,Others,0,82.0,Mkt&HR,71.43,1,252000.0
F,52.0,Central,64.0,Central,Commerce,61.0,Comm&Mgmt,0,55.0,Mkt&Fin,62.93,0,
M,78.5,Central,65.5,Central,Science,67.0,Sci&Tech,1,95.0,Mkt&Fin,64.86,1,280000.0
M,61.8,Others,47.0,Others,Commerce,54.38,Comm&Mgmt,0,57.0,Mkt&Fin,56.13,0,
F,54.0,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,0,95.65,Mkt&Fin,66.94,0,
F,64.0,Others,70.2,Central,Commerce,61.0,Comm&Mgmt,0,50.0,Mkt&Fin,62.5,0,
M,67.0,Others,61.0,Central,Science,72.0,Comm&Mgmt,0,72.0,Mkt&Fin,61.01,1,264000.0
M,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,1,93.4,Mkt&Fin,57.34,1,270000.0
F,60.0,Central,63.0,Central,Arts,56.0,Others,1,80.0,Mkt&HR,56.63,1,300000.0
M,52.0,Others,55.0,Others,Commerce,56.3,Comm&Mgmt,0,59.0,Mkt&Fin,64.74,0,
M,66.0,Central,76.0,Central,Commerce,72.0,Comm&Mgmt,1,84.0,Mkt&HR,58.95,1,275000.0
M,72.0,Others,63.0,Others,Science,77.5,Sci&Tech,1,78.0,Mkt&Fin,54.48,1,250000.0
F,83.96,Others,53.0,Others,Science,91.0,Sci&Tech,0,59.32,Mkt&HR,69.71,1,260000.0
F,67.0,Central,70.0,Central,Commerce,65.0,Others,0,88.0,Mkt&HR,71.96,0,
M,69.0,Others,65.0,Others,Commerce,57.0,Comm&Mgmt,0,73.0,Mkt&HR,55.8,1,265000.0
M,69.0,Others,60.0,Others,Commerce,65.0,Comm&Mgmt,0,87.55,Mkt&Fin,52.81,1,300000.0
M,54.2,Central,63.0,Others,Science,58.0,Comm&Mgmt,0,79.0,Mkt&HR,58.44,0,
M,70.0,Central,63.0,Central,Science,66.0,Sci&Tech,0,61.28,Mkt&HR,60.11,1,240000.0
M,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,0,66.0,Mkt&HR,58.3,1,260000.0
